"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUS","Australia","2001","2001",25.4,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUS","Australia","2004","2004",28,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUS","Australia","2007","2007",28,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUS","Australia","2017","2017",21.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUS","Australia","2001","2001",42,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUS","Australia","2004","2004",42.9,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUS","Australia","2007","2007",41,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUS","Australia","2017","2017",34.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2001","2001",33.7,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2004","2004",35.5,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2007","2007",34.6,"D","Difference in methodology"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2017","2017",28.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUT","Austria","2006","2006",29.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","AUT","Austria","2014","2014",25.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUT","Austria","2006","2006",44.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","AUT","Austria","2014","2014",39.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2006","2006",35.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2014","2014",32.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","BEL","Belgium","2001","2001",26.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","BEL","Belgium","2004","2004",24.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","BEL","Belgium","2008","2008",26.8,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","BEL","Belgium","2013","2013",27.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","BEL","Belgium","2001","2001",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","BEL","Belgium","2004","2004",38.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","BEL","Belgium","2008","2008",40.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","BEL","Belgium","2013","2013",41.3,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2001","2001",32.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2004","2004",31.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2008","2008",33.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2013","2013",34.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2001","2001",26.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2003","2003",27.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2005","2005",26.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2007","2007",26.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2008","2008",26.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2009","2009",26.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2010","2010",26.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2011","2011",26.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2012","2012",26.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2013","2013",27,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2014","2014",26.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2015","2015",27.3,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2016","2016",27.5,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CAN","Canada","2017","2017",27.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2001","2001",40.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2003","2003",41.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2005","2005",39.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2007","2007",39.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2008","2008",39.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2009","2009",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2010","2010",39.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2011","2011",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2012","2012",39.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2013","2013",40.7,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2014","2014",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2015","2015",39,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2016","2016",39.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CAN","Canada","2017","2017",40.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2001","2001",33.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2003","2003",34.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2005","2005",33,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2007","2007",32.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2008","2008",32.8,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2009","2009",32.8,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2010","2010",33.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2011","2011",32.8,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2012","2012",33.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2013","2013",33.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2014","2014",32.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2015","2015",33.1,"B","Break"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2016","2016",33.4,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2017","2017",34,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CZE","Czech Republic","2002","2002",30.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CZE","Czech Republic","2008","2008",28.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","CZE","Czech Republic","2014","2014",30,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CZE","Czech Republic","2002","2002",42.5,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CZE","Czech Republic","2008","2008",45.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","CZE","Czech Republic","2014","2014",43.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2002","2002",36.2,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2008","2008",36.8,,
