"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,35.011,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,34.583,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,33.269,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,32.433,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,32.459,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,32,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,31.286,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,30.948,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,29.616,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,29.295,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,29.523,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,27.987,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,26.945,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,26.352,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,25.563,,
"JPN","Japan","CO","Carbon Monoxide","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,23.038,,
