"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,15.877,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,16.209,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,15.927,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,15.764,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,16.009,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,16.446,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,16.298,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,16.455,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,15.665,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,15.951,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,16,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,15.813,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,16.16,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,15.99,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,15.431,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,15.223,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,14.559,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,13.853,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,12.808,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,12.125,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,12.153,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,11.665,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,11.313,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,10.865,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,10.448,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,10.175,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,11.128,,
"JPN","Japan","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,10.811,,
"KOR","Korea","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,22.807,,
