"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1990","1990","KG_HAB","Kilograms per capita","0","Units",,,10.04,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,9.934,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,9.57,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,9.19,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,9.617,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,9.52,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,9.145,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,9.407,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,8.807,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,8.929,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,8.868,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,8.802,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,8.719,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,8.499,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,8.254,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,7.876,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,7.555,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,7.212,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,6.692,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,6.243,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,6.007,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,5.665,,
"JPN","Japan","SOX","Sulphur Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,5.639,,
