Measure,Country,Year,Value
% of males,United Kingdom,2000,21.0
% of males,Finland,2000,20.9
% of males,Mexico,2000,19.2
% of males,United States,2000,27.7
% of males,Czech Republic,2000,14.0
% of males,Luxembourg,2000,16.3
% of males,Japan,2000,2.3
% of males,United Kingdom,2001,21.0
% of males,Korea,2001,2.9
% of males,Luxembourg,2001,18.6
% of males,Japan,2001,2.9
% of males,Japan,2002,3.4
% of males,Luxembourg,2002,17.8
% of males,United Kingdom,2002,22.1
% of males,United States,2002,28.3
% of males,Japan,2003,2.6
% of males,New Zealand,2003,24.4
% of males,Luxembourg,2003,18.6
% of males,Chile,2003,19.6
% of males,United Kingdom,2003,22.2
% of males,Luxembourg,2004,19.0
% of males,United States,2004,31.7
% of males,Canada,2004,22.2
% of males,Japan,2004,2.8
% of males,United Kingdom,2004,22.7
% of males,Slovak Republic,2004,17.1
% of males,Luxembourg,2005,18.8
% of males,Colombia,2005,8.8
% of males,Japan,2005,3.4
% of males,Czech Republic,2005,18.0
% of males,Slovak Republic,2005,16.8
% of males,Canada,2005,25.2
% of males,Mexico,2005,23.7
% of males,United Kingdom,2005,22.1
% of males,Korea,2005,3.6
% of males,Japan,2006,3.4
% of males,United Kingdom,2006,23.7
% of males,France,2006,16.1
% of males,United States,2006,33.8
% of males,Luxembourg,2006,21.1
% of males,Mexico,2006,24.2
% of males,Korea,2007,3.9
% of males,New Zealand,2007,26.0
% of males,United Kingdom,2007,23.6
% of males,Luxembourg,2007,20.9
% of males,Japan,2007,3.4
% of males,Australia,2007,25.5
% of males,Ireland,2007,22.0
% of males,Finland,2007,18.6
% of males,Luxembourg,2008,21.3
% of males,Japan,2008,3.4
% of males,Canada,2008,25.2
% of males,United States,2008,32.5
% of males,United Kingdom,2008,24.1
% of males,Korea,2008,4.0
% of males,Czech Republic,2008,23.0
% of males,Slovak Republic,2008,17.1
% of males,Japan,2009,4.3
% of males,Hungary,2009,26.3
% of males,Luxembourg,2009,24.5
% of males,Korea,2009,3.6
% of males,Chile,2009,19.2
% of males,New Zealand,2009,27.7
% of males,United Kingdom,2009,22.1
% of males,Luxembourg,2010,23.6
% of males,Canada,2010,26.2
% of males,Czech Republic,2010,21.0
% of males,United States,2010,35.9
% of males,United Kingdom,2010,26.2
% of males,Korea,2010,3.6
% of males,Colombia,2010,11.5
% of males,Japan,2010,3.8
% of males,Luxembourg,2011,24.7
% of males,Turkey,2011,15.3
% of males,Australia,2011,28.4
% of males,United Kingdom,2011,23.6
% of males,Japan,2011,4.6
% of males,Korea,2011,4.0
% of males,Finland,2011,23.8
% of males,Luxembourg,2012,24.7
% of males,New Zealand,2012,28.3
% of males,Germany,2012,23.3
% of males,United Kingdom,2012,24.4
% of males,Finland,2012,21.5
% of males,Mexico,2012,26.8
% of males,United States,2012,33.9
% of males,Japan,2012,3.8
% of males,Korea,2012,4.4
% of males,United Kingdom,2013,26.0
% of males,New Zealand,2013,29.8
% of males,Canada,2013,26.2
% of males,Brazil,2013,16.8
% of males,Japan,2013,4.1
% of males,Luxembourg,2013,24.1
% of males,Korea,2013,5.1
% of males,United States,2014,35.5
% of males,Latvia,2014,16.1
% of males,Belgium,2014,18.1
% of males,United Kingdom,2014,24.3
% of males,Australia,2014,28.4
% of males,Estonia,2014,17.4
% of males,Hungary,2014,28.2
% of males,New Zealand,2014,29.8
% of males,Luxembourg,2014,23.8
% of males,Japan,2014,4.0
% of males,Korea,2014,4.8
% of males,Costa Rica,2014,25.3
% of males,Korea,2015,6.1
% of males,Japan,2015,4.4
% of males,Ireland,2015,25.0
% of males,Israel,2015,18.5
% of males,New Zealand,2015,29.4
% of males,France,2015,16.8
% of males,Portugal,2015,24.9
% of males,United Kingdom,2015,26.9
% of males,Colombia,2015,14.4
% of males,Canada,2015,28.5
% of males,Chile,2016,30.2
% of males,Latvia,2016,19.1
% of males,Japan,2016,4.5
% of males,Korea,2016,6.0
% of males,Mexico,2016,27.7
% of males,United Kingdom,2016,25.7
% of males,New Zealand,2016,30.5
% of males,United States,2016,38.3
% of males,Japan,2017,4.7
% of males,Korea,2017,5.4
% of males,Turkey,2017,21.6
% of males,Finland,2017,26.1
% of males,United Kingdom,2017,27.4
% of males,Canada,2017,26.2
% of males,New Zealand,2017,30.5
% of males,Ireland,2017,24.0
% of males,Australia,2017,31.5
% of males,New Zealand,2018,30.7
