country,gender,age,fruits,non_starchy_vegetables,beans_legumes,nuts_seeds,unprocessed_red_meat,sugar_sweetened_beverages,fruit_juice,total_protein,calcium,potassium,total_milk
USA,0,999,71.224693,97.659134,15.469287,4.3391829,39.966297,352.47125,86.249146,80.482201,865.0675,2700.946,167.18304
USA,0,0,55.382389,54.946087,11.885848,3.8518026,30.319843,435.68689,123.04316,65.493698,950.66583,2194.3572,253.2254
USA,0,1,77.003075,113.23845,16.776325,4.5169516,43.484783,322.1189,72.828766,85.949165,833.84607,2885.7212,135.79964
USA,1,999,78.67524,106.37863,12.86162,3.7440932,32.542294,301.40817,94.47319,75.973022,878.52325,2675.5715,153.40639
USA,1,0,60.089695,58.824574,9.7464447,3.3139882,24.567385,382.37097,136.04892,61.59531,966.43353,2162.5793,233.59296
USA,1,1,84.880692,122.25627,13.901734,3.8876994,35.205006,274.37585,80.591644,80.773537,849.17126,2846.8525,126.63321
USA,999,0,57.683887,56.842358,10.839849,3.5888536,27.507343,409.6196,129.40193,63.587692,958.37494,2178.8203,243.62666
USA,999,1,81.028671,117.84669,15.307362,4.1953936,39.253681,297.72141,76.795723,83.304337,841.67749,2865.8586,131.11545
USA,999,999,74.989456,102.0651,14.151632,4.0384836,36.214947,326.66907,90.404755,78.203712,871.8667,2688.1243,160.22169
Mexico,0,999,130.20949,110.32921,59.563972,2.649271,36.599182,499.0195,19.981529,56.691841,897.07538,2090.0464,101.63144
Mexico,0,0,128.49553,95.965958,52.935253,1.5378304,31.773867,522.67828,21.948187,52.034252,947.11804,2054.3308,125.20265
Mexico,0,1,131.24739,119.02697,63.578033,3.3223112,39.521179,484.69275,18.790604,59.512276,866.77161,2111.6741,87.357735
Mexico,1,999,134.58725,111.19119,59.446041,2.4477093,33.420738,466.30429,20.308743,56.450317,960.82587,2200.0706,108.10188
Mexico,1,0,132.69525,96.233627,52.602921,1.4011695,28.922459,493.34058,22.416119,51.693897,1014.6325,2155.709,133.46451
Mexico,1,1,135.64793,119.5766,63.282383,3.0344136,35.942535,451.14737,19.127317,59.116829,930.66113,2224.9402,93.88324
Mexico,999,0,130.55318,96.097099,52.772427,1.4708735,30.37682,508.30429,22.17745,51.867493,980.19672,2104.001,129.25055
Mexico,999,1,133.48827,119.30685,63.427483,3.1757061,37.698841,467.61057,18.962069,59.310905,899.30585,2169.3521,90.680695
Mexico,999,999,132.40768,110.76203,59.504757,2.5480609,35.003193,482.59222,20.145832,56.570564,929.08636,2145.2927,104.88044
United Kingdom,0,999,99.921844,97.773293,33.466919,4.9864631,32.069183,219.29855,33.504242,65.831596,879.08557,3547.3145,167.89879
United Kingdom,0,0,77.563232,53.776146,25.411457,4.3948712,23.88578,274.85046,48.603996,52.700275,974.21564,2842.1292,260.38425
United Kingdom,0,1,107.08326,111.86549,36.047062,5.1759486,34.690311,201.50537,28.667816,70.037529,848.61548,3773.1836,138.27586
United Kingdom,1,999,120.1449,111.7772,32.022087,4.3556275,29.362951,183.18216,36.98941,63.345066,934.59937,3340.9128,172.92961
United Kingdom,1,0,91.905479,60.557629,23.992216,3.8340166,21.761423,235.23082,54.225941,50.519032,1037.4807,2661.5215,269.57166
United Kingdom,1,1,128.34076,126.64253,34.352577,4.5070138,31.569124,168.0762,31.986889,67.067535,904.74036,3538.0911,144.88141
United Kingdom,999,0,84.565933,57.08725,24.718504,4.1210303,22.848547,255.50591,51.348949,51.635269,1005.1052,2753.9463,264.87006
United Kingdom,999,1,117.9862,119.44462,35.177967,4.8328533,33.089462,184.35962,30.370165,68.514229,877.40186,3652.6052,141.66385
United Kingdom,999,999,110.17779,104.87525,32.734184,4.6665406,30.696743,200.98245,35.271713,64.570572,907.23889,3442.6399,170.45012
Republic of Korea,0,999,102.72966,117.23551,30.956039,0.64808971,36.862049,47.308529,15.17683,70.399734,505.44116,2861.0212,68.843681
Republic of Korea,0,0,115.66725,112.76746,30.017136,0.52670646,42.924595,72.392059,28.656754,71.525002,587.26361,2559.3081,131.17212
Republic of Korea,0,1,99.296539,118.42117,31.205187,0.6803,35.253292,40.652351,11.599793,70.101143,483.72876,2941.0842,52.304184
Republic of Korea,1,999,139.03638,120.00172,34.514458,0.67320216,34.273708,30.1425,15.042845,70.459213,528.02277,3045.0168,80.197929
Republic of Korea,1,0,157.48474,115.66687,32.900375,0.53782314,40.624741,48.313362,29.424747,71.786324,614.46124,2715.9771,156.46208
Republic of Korea,1,1,134.60413,121.04316,34.902241,0.70572704,32.747868,25.776937,11.587584,70.140366,507.25586,3124.0688,61.875408
Republic of Korea,999,0,135.72377,114.15807,31.399998,0.53203827,41.821537,60.843422,29.025101,71.650337,600.30817,2634.4497,143.30171
Republic of Korea,999,1,117.10783,119.74385,33.070202,0.69312692,33.989403,33.148289,11.593633,70.120926,495.59723,3033.3926,57.132488
Republic of Korea,999,999,120.86304,118.61709,32.733288,0.66063207,35.569302,38.734955,15.109911,70.429436,516.71954,2952.9177,74.514557
