,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1970,..,4.8,3.8,6.3,..,..,..,..,5,5.2,5.7,..,..,4.7,4.9,..,..,4.4,2.6,..,..,..,..,..,5.1,4,..,2.3,..,..,3.1,5.5,4.9,..,4,6.2
1971,4.5,4.8,3.9,6.5,..,..,7.7,..,5.3,..,6.2,..,..,5.1,5.8,..,..,4.5,2.2,..,..,..,..,..,5,4.3,..,2.4,..,..,3.6,5.9,5.1,..,4,6.4
1972,4.5,4.8,4.1,6.4,..,..,7.8,..,5.4,..,6.5,..,..,5,5.9,..,..,4.6,2,..,..,..,..,5.6,5,4.6,..,3,..,..,3.8,6,5.1,..,4.1,6.5
1973,4.5,4.9,4.4,6.1,..,..,7.6,..,5.2,..,6.8,..,..,4.6,6,..,..,4.5,1.7,..,..,..,..,5.6,5.3,4.8,..,3.2,..,..,3.7,6,5.2,..,4,6.5
1974,5.1,5.1,4.4,6,..,..,8.3,..,5.2,..,7.4,..,..,5.2,6.5,..,..,4.9,1.5,..,..,..,..,5.8,5.9,4.8,..,3.5,..,..,4,6.3,5.5,..,4.6,6.9
1975,5.8,6.5,5.5,6.5,..,..,8.5,..,5.7,6.2,8,..,..,5.6,6.6,4.5,..,5.4,2.3,..,..,..,..,6.2,6.5,5.2,..,4.7,..,..,4.2,6.5,6.3,2.2,4.9,7.2
1976,5.8,6.7,5.7,6.5,..,..,8.4,..,6,..,8,..,..,5.3,6.4,5.1,..,5.4,2.3,..,..,3.9,..,6.1,6.1,5.3,..,4.6,..,..,4.7,6.8,6.5,1.7,4.9,7.4
1977,6.1,6.7,6.2,6.5,..,..,8.3,..,6.2,..,8,..,..,5.2,6.1,5.8,..,5.5,2.2,..,..,4.2,..,6.2,6.3,5.5,..,4.1,..,..,4.9,7.6,6.5,2,4.8,7.7
1978,5.9,6.9,6.4,6.5,..,..,8.4,..,6.1,..,8,..,..,5.6,6.5,6.3,..,5.7,2.4,..,..,4.5,..,6.3,6.7,6.1,..,4.2,..,..,5,7.6,6.5,2.2,4.8,7.7
1979,5.8,6.9,6.4,6.4,..,..,8.5,..,6,..,7.9,..,..,6.4,6.8,6.9,..,5.9,3.1,..,..,4.5,..,6.5,6.3,5.6,..,4.1,..,..,4.9,7.5,6.6,2.3,4.7,7.8
